CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031408520934026NH0F;29/09/2022;8;0,024;R
ES0031408520934026NH0F;29/09/2022;9;0,024;R
ES0031408520934026NH0F;29/09/2022;10;0,034;R
ES0031408520934026NH0F;29/09/2022;11;0,035;R
ES0031408520934026NH0F;29/09/2022;12;0,046;R
ES0031408520934026NH0F;29/09/2022;13;0,037;R
ES0031408520934026NH0F;29/09/2022;14;0,069;R
ES0031408520934026NH0F;29/09/2022;15;0,044;R
ES0031408520934026NH0F;29/09/2022;16;0,051;R
ES0031408520934026NH0F;29/09/2022;17;0,024;R
ES0031408520934026NH0F;29/09/2022;18;0,042;R
ES0031408520934026NH0F;29/09/2022;19;0,025;R
ES0031408520934026NH0F;29/09/2022;20;0,024;R
ES0031408520934026NH0F;29/09/2022;21;0,055;R
ES0031408520934026NH0F;29/09/2022;22;0,079;R
ES0031408520934026NH0F;29/09/2022;23;0,083;R
ES0031408520934026NH0F;29/09/2022;24;0,087;R
ES0031408520934026NH0F;30/09/2022;1;0,063;R
ES0031408520934026NH0F;30/09/2022;2;0,043;R
ES0031408520934026NH0F;30/09/2022;3;0,036;R
ES0031408520934026NH0F;30/09/2022;4;0,025;R
ES0031408520934026NH0F;30/09/2022;5;0,025;R
ES0031408520934026NH0F;30/09/2022;6;0,039;R
ES0031408520934026NH0F;30/09/2022;7;0,024;R
ES0031408520934026NH0F;30/09/2022;8;0,023;R
ES0031408520934026NH0F;30/09/2022;9;0,032;R
ES0031408520934026NH0F;30/09/2022;10;0,056;R
ES0031408520934026NH0F;30/09/2022;11;0,024;R
ES0031408520934026NH0F;30/09/2022;12;0,036;R
ES0031408520934026NH0F;30/09/2022;13;0,031;R
ES0031408520934026NH0F;30/09/2022;14;0,043;R
ES0031408520934026NH0F;30/09/2022;15;0,046;R
ES0031408520934026NH0F;30/09/2022;16;0,030;R
ES0031408520934026NH0F;30/09/2022;17;0,024;R
ES0031408520934026NH0F;30/09/2022;18;0,024;R
ES0031408520934026NH0F;30/09/2022;19;0,041;R
ES0031408520934026NH0F;30/09/2022;20;0,024;R
ES0031408520934026NH0F;30/09/2022;21;0,036;R
ES0031408520934026NH0F;30/09/2022;22;0,149;R
ES0031408520934026NH0F;30/09/2022;23;0,088;R
ES0031408520934026NH0F;30/09/2022;24;0,080;R
ES0031408520934026NH0F;01/10/2022;1;0,047;R
ES0031408520934026NH0F;01/10/2022;2;0,040;R
ES0031408520934026NH0F;01/10/2022;3;0,023;R
ES0031408520934026NH0F;01/10/2022;4;0,029;R
ES0031408520934026NH0F;01/10/2022;5;0,036;R
ES0031408520934026NH0F;01/10/2022;6;0,024;R
ES0031408520934026NH0F;01/10/2022;7;0,024;R
ES0031408520934026NH0F;01/10/2022;8;0,038;R
ES0031408520934026NH0F;01/10/2022;9;0,025;R
ES0031408520934026NH0F;01/10/2022;10;0,023;R
ES0031408520934026NH0F;01/10/2022;11;0,057;R
ES0031408520934026NH0F;01/10/2022;12;0,028;R
ES0031408520934026NH0F;01/10/2022;13;0,026;R
ES0031408520934026NH0F;01/10/2022;14;0,035;R
ES0031408520934026NH0F;01/10/2022;15;0,033;R
ES0031408520934026NH0F;01/10/2022;16;0,556;R
ES0031408520934026NH0F;01/10/2022;17;0,044;R
ES0031408520934026NH0F;01/10/2022;18;0,051;R
ES0031408520934026NH0F;01/10/2022;19;0,032;R
ES0031408520934026NH0F;01/10/2022;20;0,057;R
ES0031408520934026NH0F;01/10/2022;21;0,059;R
ES0031408520934026NH0F;01/10/2022;22;0,067;R
ES0031408520934026NH0F;01/10/2022;23;0,133;R
ES0031408520934026NH0F;01/10/2022;24;0,080;R
ES0031408520934026NH0F;02/10/2022;1;0,062;R
ES0031408520934026NH0F;02/10/2022;2;0,027;R
ES0031408520934026NH0F;02/10/2022;3;0,039;R
ES0031408520934026NH0F;02/10/2022;4;0,022;R
ES0031408520934026NH0F;02/10/2022;5;0,028;R
ES0031408520934026NH0F;02/10/2022;6;0,032;R
ES0031408520934026NH0F;02/10/2022;7;0,023;R
ES0031408520934026NH0F;02/10/2022;8;0,033;R
ES0031408520934026NH0F;02/10/2022;9;0,029;R
ES0031408520934026NH0F;02/10/2022;10;0,023;R
ES0031408520934026NH0F;02/10/2022;11;0,036;R
ES0031408520934026NH0F;02/10/2022;12;0,052;R
ES0031408520934026NH0F;02/10/2022;13;0,033;R
ES0031408520934026NH0F;02/10/2022;14;0,049;R
ES0031408520934026NH0F;02/10/2022;15;0,068;R
ES0031408520934026NH0F;02/10/2022;16;0,061;R
ES0031408520934026NH0F;02/10/2022;17;0,023;R
ES0031408520934026NH0F;02/10/2022;18;0,030;R
ES0031408520934026NH0F;02/10/2022;19;0,033;R
ES0031408520934026NH0F;02/10/2022;20;0,087;R
ES0031408520934026NH0F;02/10/2022;21;0,201;R
ES0031408520934026NH0F;02/10/2022;22;0,063;R
ES0031408520934026NH0F;02/10/2022;23;0,061;R
ES0031408520934026NH0F;02/10/2022;24;0,057;R
ES0031408520934026NH0F;03/10/2022;1;0,052;R
ES0031408520934026NH0F;03/10/2022;2;0,024;R
ES0031408520934026NH0F;03/10/2022;3;0,039;R
ES0031408520934026NH0F;03/10/2022;4;0,024;R
ES0031408520934026NH0F;03/10/2022;5;0,023;R
