cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
ES0553000000001456NC;12/07/2022;22:00;0,373;Estimada;0
ES0553000000001456NC;12/07/2022;23:00;0,206;Estimada;0
ES0553000000001456NC;12/07/2022;24:00:00;0,222;Estimada;0
ES0553000000001456NC;13/07/2022;1:00;0,517;Estimada;0
ES0553000000001456NC;13/07/2022;2:00;0,245;Estimada;0
ES0553000000001456NC;13/07/2022;3:00;0,099;Estimada;0
ES0553000000001456NC;13/07/2022;4:00;0,142;Estimada;0
ES0553000000001456NC;13/07/2022;5:00;0,096;Estimada;0
ES0553000000001456NC;13/07/2022;6:00;0,135;Estimada;0
ES0553000000001456NC;13/07/2022;7:00;0,133;Estimada;0
ES0553000000001456NC;13/07/2022;8:00;0,085;Estimada;0
ES0553000000001456NC;13/07/2022;9:00;0,099;Estimada;0
ES0553000000001456NC;13/07/2022;10:00;0,104;Estimada;0
ES0553000000001456NC;13/07/2022;11:00;0,11;Estimada;0
ES0553000000001456NC;13/07/2022;12:00;0,128;Estimada;0
ES0553000000001456NC;13/07/2022;13:00;0,354;Estimada;0
ES0553000000001456NC;13/07/2022;14:00;0,104;Estimada;0
ES0553000000001456NC;13/07/2022;15:00;0,096;Estimada;0
ES0553000000001456NC;13/07/2022;16:00;0,094;Estimada;0
ES0553000000001456NC;13/07/2022;17:00;0,085;Estimada;0
ES0553000000001456NC;13/07/2022;18:00;0,084;Estimada;0
ES0553000000001456NC;13/07/2022;19:00;0,09;Estimada;0
ES0553000000001456NC;13/07/2022;20:00;0,129;Estimada;0
ES0553000000001456NC;13/07/2022;21:00;0,146;Estimada;0
ES0553000000001456NC;13/07/2022;22:00;0,094;Estimada;0
ES0553000000001456NC;13/07/2022;23:00;0,198;Estimada;0
ES0553000000001456NC;13/07/2022;24:00:00;0,45;Estimada;0
ES0553000000001456NC;14/07/2022;1:00;0,477;Estimada;0
ES0553000000001456NC;14/07/2022;2:00;0,243;Estimada;0
ES0553000000001456NC;14/07/2022;3:00;0,18;Estimada;0
ES0553000000001456NC;14/07/2022;4:00;0,131;Estimada;0
ES0553000000001456NC;14/07/2022;5:00;0,129;Estimada;0
ES0553000000001456NC;14/07/2022;6:00;0,121;Estimada;0
ES0553000000001456NC;14/07/2022;7:00;0,199;Estimada;0
ES0553000000001456NC;14/07/2022;8:00;0,179;Estimada;0
ES0553000000001456NC;14/07/2022;9:00;0,1;Estimada;0
ES0553000000001456NC;14/07/2022;10:00;0,132;Estimada;0
ES0553000000001456NC;14/07/2022;11:00;0,154;Estimada;0
ES0553000000001456NC;14/07/2022;12:00;0,116;Estimada;0
ES0553000000001456NC;14/07/2022;13:00;0,334;Estimada;0
ES0553000000001456NC;14/07/2022;14:00;0,114;Estimada;0
ES0553000000001456NC;14/07/2022;15:00;0,112;Estimada;0
ES0553000000001456NC;14/07/2022;16:00;0,111;Estimada;0
ES0553000000001456NC;14/07/2022;17:00;0,108;Estimada;0
ES0553000000001456NC;14/07/2022;18:00;0,109;Estimada;0
ES0553000000001456NC;14/07/2022;19:00;0,11;Estimada;0
ES0553000000001456NC;14/07/2022;20:00;0,11;Estimada;0
ES0553000000001456NC;14/07/2022;21:00;0,113;Estimada;0
ES0553000000001456NC;14/07/2022;22:00;0,118;Estimada;0
ES0553000000001456NC;14/07/2022;23:00;0,18;Estimada;0
ES0553000000001456NC;14/07/2022;24:00:00;0,414;Estimada;0
ES0553000000001456NC;15/07/2022;1:00;0,53;Estimada;0
ES0553000000001456NC;15/07/2022;2:00;0,245;Estimada;0
ES0553000000001456NC;15/07/2022;3:00;0,176;Estimada;0
ES0553000000001456NC;15/07/2022;4:00;0,128;Estimada;0
ES0553000000001456NC;15/07/2022;5:00;0,101;Estimada;0
ES0553000000001456NC;15/07/2022;6:00;0,096;Estimada;0
ES0553000000001456NC;15/07/2022;7:00;0,149;Estimada;0
ES0553000000001456NC;15/07/2022;8:00;0,104;Estimada;0
ES0553000000001456NC;15/07/2022;9:00;0,096;Estimada;0
ES0553000000001456NC;15/07/2022;10:00;0,095;Estimada;0
ES0553000000001456NC;15/07/2022;11:00;0,104;Estimada;0
ES0553000000001456NC;15/07/2022;12:00;0,111;Estimada;0
ES0553000000001456NC;15/07/2022;13:00;0,349;Estimada;0
ES0553000000001456NC;15/07/2022;14:00;0,097;Estimada;0
ES0553000000001456NC;15/07/2022;15:00;0,125;Estimada;0
ES0553000000001456NC;15/07/2022;16:00;0,134;Estimada;0
ES0553000000001456NC;15/07/2022;17:00;0,09;Estimada;0
ES0553000000001456NC;15/07/2022;18:00;0,086;Estimada;0
ES0553000000001456NC;15/07/2022;19:00;0,084;Estimada;0
ES0553000000001456NC;15/07/2022;20:00;0,084;Estimada;0
ES0553000000001456NC;15/07/2022;21:00;0,083;Estimada;0
ES0553000000001456NC;15/07/2022;22:00;0,09;Estimada;0
ES0553000000001456NC;15/07/2022;23:00;0,165;Estimada;0
ES0553000000001456NC;15/07/2022;24:00:00;0,474;Estimada;0
ES0553000000001456NC;16/07/2022;1:00;0,513;Estimada;0
ES0553000000001456NC;16/07/2022;2:00;0,246;Estimada;0
ES0553000000001456NC;16/07/2022;3:00;0,165;Estimada;0
ES0553000000001456NC;16/07/2022;4:00;0,104;Estimada;0
ES0553000000001456NC;16/07/2022;5:00;0,147;Estimada;0
ES0553000000001456NC;16/07/2022;6:00;0,193;Estimada;0
